ID,PALABRA,MASCULINO,FEMENINO
538,realistalo,0,1
586,sentimientos,25,26
572,entre,149,96
6134,ecosas,0,1
6138,permanecer,1,4
2910,sufre,9,8
578,dejen,22,22
548,espera,25,42
543,pies,9,19
2906,orar,3,3
551,eficientes,0,1
1901,puesta,5,7
554,incumplida,0,1
1888,excitante,1,0
1898,componen,1,1
556,descontroltoma,1,0
547,paciente,7,5
559,jarra,1,0
579,preocuparse,6,2
2907,amarlo,1,3
1894,talento,18,14
550,esten,20,7
558,directamente,4,2
565,magrugar,1,0
568,dontknownothing,1,0
2908,inventaron,1,2
6135,victoriosooooooooooooooooooooooo,0,1
9474,empezaaaaaaaaaaaaaar,0,0
574,salga,11,24
6139,lilly,1,1
1892,marbel,1,0
9464,fam,0,0
1895,x,90,55
560,popo,2,2
582,cuerpo,35,33
552,lambones,2,1
575,quede,20,23
555,viernes,74,63
1890,bunuelo,2,2
585,fijamos,1,0
587,sepanlo,1,0
589,hambrepreparece,1,0
590,fritese,1,0
6136,madurezpero,0,1
1899,banda,29,8
2911,dame,8,16
566,estudiando,6,5
1893,vueltica,2,0
1896,esfuerzo,29,18
557,jugo,12,13
549,bendiceme,2,1
2909,fraseojos,0,1
581,perfeccion,3,9
1900,bgotana,1,0
561,puerta,16,15
1902,recaudoson,1,0
576,estorba,3,0
564,trasnocha,2,2
531,diosito,9,12
569,universidad,66,34
1883,diosdadopafuera,6,1
562,bano,5,9
539,ves,21,38
9475,fammmmmm,0,0
2913,matemos,0,1
583,gym,14,9
1889,poner,26,27
571,entrar,13,13
2912,senal,11,8
6140,goodman,0,1
1860,6d,11,0
544,tierra,52,41
6137,dejara,6,9
9476,thenewbrokenscene,0,6
546,quiere,175,184
2914,dices,14,27
2919,jopo,0,2
1897,ratas,4,1
607,nofilters,2,0
1910,negralos,1,0
604,beautiful,14,6
598,tired,2,3
1911,desaparezca,1,0
614,selfie,15,19
611,60s,2,0
602,selfiecuzimbored,1,0
1914,pastrana,4,0
6145,indias,11,7
605,breakingdown,1,0
606,loveengeneering,1,0
1916,cojones,3,0
536,posible,39,32
628,dignidad,14,16
573,salir,92,91
588,mama,63,115
377,veo,52,64
580,buscar,24,26
478,semana,132,130
563,abierta,12,4
577,mujeres,55,75
542,sonar,28,21
553,odio,49,63
609,continuando,1,0
610,teamrayban,1,0
608,dorada,4,0
631,mandas,1,3
1918,zona,21,18
617,engeneering,1,0
618,altavista,1,0
6141,bellos,1,8
6142,bellabella,0,1
622,cousins,1,0
623,noproject,1,0
624,homelesslook,1,0
1909,bronx,5,1
626,finalsweek,1,0
567,dontstopstudying,2,0
636,parce,8,25
633,mensaje,45,46
6132,castellanos,3,2
2922,verduras,1,1
1903,pudren,2,0
635,respondido,1,0
596,bored,4,0
2924,mantenga,0,2
2923,cabeza,48,62
640,noviaa,1,0
592,mijo,12,15
2915,usan,7,6
2916,shorts,0,1
6146,lluvias,7,1
591,huevo,5,3
603,such,2,4
1905,exterminio,1,1
600,wait,5,9
1917,acabar,15,11
6143,curro,0,1
1904,ciudadno,1,0
488,podria,29,16
625,end,8,6
6144,cartagen,0,1
1906,hombrellameme,1,0
1907,neonazi,1,0
629,empieza,31,25
632,segundo,25,40
1908,bgotanas,1,0
639,prohibe,2,0
514,bendiciones,44,35
1919,distension,1,0
1920,caguan,1,0
621,nigth,5,2
595,so,39,38
638,religion,12,4
1915,tuvo,11,12
1913,clopezanalista,12,2
2921,picar,1,2
594,haga,43,64
601,university,6,2
2920,tabla,3,1
637,noviano,2,0
6147,islena,0,1
630,termina,23,28
2917,altos,12,5
634,haya,33,20
641,perteneceal,1,0
642,feismo,1,0
686,escondidas,1,1
661,drink,4,1
697,bailar,15,24
646,tomarde,1,0
650,cobija,2,1
682,canta,8,12
665,llega,89,82
693,dormir,71,102
651,arruncharnos,1,0
2929,abandona,8,2
653,fuiciosos,1,0
691,loquemasamoesesode,4,3
656,aviators,1,0
657,strongsun,1,0
644,hermano,49,28
6151,recuerden,10,8
662,juanvaldez,1,0
667,cayo,9,11
1922,2002,4,0
690,quiera,34,58
6152,amamos,5,15
702,realmente,27,42
671,guisamenta,1,0
672,twitrer,1,0
655,calor,25,16
1931,fuy,0,1
676,converse,1,0
677,alwaysconverse,1,0
615,with,144,84
593,grande,144,90
619,restaurante,18,13
2918,tienen,107,92
627,palabra,42,36
670,toda,155,136
232,o,379,408
648,nuestra,131,106
1912,jcpastrana,3,1
570,alguien,171,291
612,ibague,33,11
1924,ud,23,20
380,hay,510,533
678,youbetterchoice,1,0
679,chucktaylor,1,0
680,scotlandpants,1,0
681,conmigoseganaelcielosi,1,0
706,copasudamericana,19,14
1929,definitivamente,28,40
1923,distinto,5,2
659,something,4,7
1932,votarelecciones2015,0,1
695,rock,20,14
1921,febrero,4,6
2925,repito,3,2
6150,elloy,0,1
654,aguantando,2,0
688,pudo,18,20
689,podra,18,9
6148,diatoday,0,1
703,tendras,5,9
2930,libra,10,21
673,supuesta,3,0
2927,consuelo,1,2
649,pijama,1,2
658,tomila,2,1
663,nevado,4,1
700,tuyo,29,29
1927,entregue,3,3
666,equivocado,8,1
707,falla,9,8
710,alivia,2,0
685,tigo,5,4
705,semifinalista,4,3
6149,demos,5,4
687,quiso,11,4
643,amen,24,27
2928,pedire,0,1
6153,vitalidad,0,1
6154,rizado,0,1
728,partes,11,11
737,reconozco,2,1
750,celos,11,38
715,convertiste,1,0
6155,cucu,0,1
6159,rol,3,2
773,perdoname,0,5
757,facil,46,59
722,sirves,1,0
731,jugando,20,13
753,distancia,20,27
2937,vivirla,0,3
6157,unad,2,1
735,juega,50,24
730,madurado,1,0
664,problema,57,46
732,budekai,1,0
733,tekaichi,1,0
744,cuestion,11,14
712,tantas,23,43
1936,lopez,51,29
748,pailaporesagenteque,2,4
2936,suficiente,11,24
745,descubrirla,2,0
751,encontrar,31,37
779,pueden,64,61
778,mascota,5,3
713,mentiras,22,37
777,duermen,1,5
2932,asicon,0,1
739,cagaste,1,3
754,twittea,1,1
6160,docente,4,1
714,dijiste,3,11
725,carnaval,14,3
755,material,2,3
2941,diste,3,13
767,tortaa,0,1
768,bananoo,0,1
769,diianiita01,0,1
2940,alegrar,5,3
772,interesando,0,1
774,yandar,0,1
775,yostin,0,1
738,errores,27,29
652,peliculas,10,28
729,he,133,148
699,leon,47,32
2939,are,60,40
645,sabado,58,67
759,bueno,162,151
668,mio,48,66
758,presente,27,29
742,novio,18,78
743,felicidad,97,148
692,poder,89,64
741,vi,33,43
746,nuestras,36,33
736,conmigo,43,85
734,nueva,115,108
766,deja,62,71
2933,ojo,26,24
761,nuevo,222,152
727,todas,89,146
684,sera,189,153
771,ve,60,49
2926,sirve,26,20
740,explico,5,2
780,estirar,0,1
749,sacar,24,23
1939,uracanpatricia,0,1
1938,fuerzamexico,2,1
1940,mandamos,0,1
764,borracho,3,9
2938,avartar,0,1
6158,evolucion,7,3
721,payaso,5,5
720,graciosa,2,0
770,aparece,8,5
756,stalkear,2,5
2931,necesitas,12,17
724,aproxima,3,0
2934,enamoro,6,13
1941,mexico,46,26
747,ventajas,3,3
2935,guitarra,3,6
711,fraseamiex,6,1
762,avatar,7,9
719,creias,4,3
842,paila,8,11
836,felices,39,35
1944,funny,3,1
826,conoci,9,11
2946,bonitas,8,13
791,carta,12,7
2942,llenar,16,11
2943,vidame,0,1
794,bagree,0,1
785,importa,53,89
1943,free,11,4
1950,comic,2,2
839,verla,12,10
832,envidia,9,17
824,decirlo,5,5
6163,chocolate,8,14
805,testarudo,0,1
828,murio,12,13
847,quieran,12,18
844,real,50,44
812,desafio,4,3
784,pesar,25,37
787,guardada,3,4
816,juiciosa,1,4
817,inteligentota,0,1
819,amare,2,6
825,demostrarlo,1,3
781,cambiar,43,46
829,canso,6,5
1952,centro,112,73
821,charlie,6,5
841,mientras,67,62
1934,laredcaracol,4,13
786,tengas,5,20
1935,pastor,6,10
833,relacion,26,30
831,humillada,0,1
6161,proceso,59,16
1951,albums,2,1
835,ellos,62,64
801,disfrazar,18,15
2945,creceres,0,1
806,llevar,17,22
843,perdiendoanote,0,1
845,juanito,0,1
846,valija,0,1
1933,caigoenlared,0,6
1942,lopz,0,2
803,tauro,7,18
788,telefono,8,9
823,chocolates,5,8
813,aprueba,1,2
795,busco,6,11
6162,ensenanzaaprendizaje,0,1
1945,pictures,3,1
1947,pranks,0,1
1948,jokes,0,1
818,ponen,17,23
2947,caen,7,6
2950,cerebro,17,19
1953,twoo,0,2
811,VERDADERO,21,33
796,cosculluela,1,2
827,conocio,3,2
2949,exploten,0,1
815,creencia,1,1
783,despiertan,0,5
789,tenia,31,42
808,buen,176,88
804,eres,163,264
830,buena,129,93
2944,hecho,66,53
820,pelicula,21,20
834,sabe,94,126
782,posicion,11,9
790,llegar,48,72
545,sabes,51,90
809,tus,172,239
838,extrano,43,87
807,razon,51,71
792,va,236,270
802,visto,47,62
797,feat,20,6
798,nicky,0,4
799,jam,1,3
870,idolo,8,3
871,sintoma,1,2
869,piensa,20,22
6166,cinta,0,3
1965,muestran,5,5
6171,juzgue,2,0
858,grandote,0,2
1959,calle,63,46
2955,danar,9,6
1966,colombiano,51,25
905,light,5,3
860,fotos,64,53
857,sociales,36,18
6168,manoseo,0,1
765,orgullo,38,46
1963,felicidades,24,22
2951,atrae,3,6
6169,yahora,1,0
855,cambiando,5,6
898,estando,8,6
872,inmadurez,1,2
1958,frace,1,1
859,pone,31,33
878,dedicaste,0,1
867,pocas,11,26
6170,hijueputas,8,11
910,where,3,11
899,crazy,3,4
906,inside,4,5
852,huy,7,7
885,cantara,0,1
879,reggaeton,7,9
888,arianaonamas,0,1
2948,vulgar,0,3
891,catrinayoyoyoyoyoyoyoyoyopost,0,1
